sku,title,vendor,categories,tags,price,images,stores
ray-jean,Club Ride Ray Jean,Club Ride Appparel,Apparel,"Accessories, Apparel, Pants",129.99,https://cdn.shopify.com/s/files/1/0923/8062/products/jayjean1.jpeg?v=1438626070,"1, 2, 6, 14, 20"
roxbury-jersey,Club Ride Roxbury Jersey,Club Ride Appparel,Apparel,"Accessories, Apparel, Shirt, Shirts",89.99,https://cdn.shopify.com/s/files/1/0923/8062/products/roxbury-charcoal.jpeg?v=1438626068,"5, 10, 11, 12, 17"
levis-511-slim-fit-commuter-shorts,Levi's Commuter 504 Regular Straight Shorts,Levi's,Apparel,"Accessories, Apparel, Shorts",68,https://cdn.shopify.com/s/files/1/0923/8062/products/Men-short-blue-2_WEB.jpeg?v=1438625979,"3, 6, 7, 11, 12"
pure-fix-1940s-pullover,Pure Fix 1940's Pullover,Pure Fix Cycles,Apparel,"1940S, Accessories, Apparel, Clothes, Grey, Shirts, Sweatshirt, Sweatshirts",40,https://cdn.shopify.com/s/files/1/0923/8062/products/raglan_1201.jpeg?v=1438625948,"5, 6, 7, 16, 18"
pure-fix-1940s-tee,Pure Fix 1940's Tee,Pure Fix Cycles,Apparel,"1940S, Accessories, Apparel, Black, Clothes, Concrete, Grey, Shirt, Shirts",20,https://cdn.shopify.com/s/files/1/0923/8062/products/Tshirt_Pure-Fix_Black_Front_WEB.jpeg?v=1438625943,"13, 14, 16, 17, 18"
copy-of-pure-fix-1940s-zip-hoodie,Pure Fix 1940's Zip Hoodie,Pure Fix Cycles,Apparel,"1940S, Accessories, Apparel, Black, Clothes, Sweatshirt, Sweatshirts",32,https://cdn.shopify.com/s/files/1/0923/8062/products/hoodie_1201.jpeg?v=1438625933,"2, 10, 13, 14, 18"
pure-fix-basic-tee,Pure Fix Wing Tee,Pure Fix Cycles,Apparel,"Accessories, Apparel, Clothes, Grey, Shirt, Shirts",20,https://cdn.shopify.com/s/files/1/0923/8062/products/shirt_1.png?v=1438625925,"10, 11, 12, 14, 16"
pure-fix-go-bag,Pure Fix Go Bag,Pure Fix Cycles,Apparel,"Accessories, Apparel, Bag, Bags, Black",0.99,https://cdn.shopify.com/s/files/1/0923/8062/products/Bag-Front-WEB.jpeg?v=1438625899,"3, 4, 14, 15, 17"
pure-fix-race-jersey,Pure Fix Race Jersey,Pure Fix Cycles,Apparel,"Accessories, Apparel, Blue, Jersey, Navy, Racing, Red, Shirt",59,https://cdn.shopify.com/s/files/1/0923/8062/products/Blue-Jersey-Front.jpeg?v=1438625842,"4, 5, 10, 12, 15"
pure-fix-tribal-tee,Pure Fix Tribal Tee,Pure Fix Cycles,Apparel,"Black, Clothes, Concrete, Grey, Mint, Shirt, Shirts, White",20,https://cdn.shopify.com/s/files/1/0923/8062/products/gray_shirt_black_wing_3.jpeg?v=1438625828,"8, 9, 11, 13, 19"
pure-fix-trucker-hat,Pure Fix Trucker Hat,Pure Fix Cycles,Apparel,"Hat, Hats, Yellow",9.99,https://cdn.shopify.com/s/files/1/0923/8062/products/long-beach-trucker-hat_1.jpeg?v=1438625823,"2, 3, 6, 15, 19"
pure-fix-mechanic-shirt,Pure Fix Mechanic Shirt,Pure Fix Cycles,Apparel,"Accessories, Apparel, Black, Clothes, Shirt, Shirts",40,https://cdn.shopify.com/s/files/1/0923/8062/products/button-down-mech-tee.jpeg?v=1438625480,"1, 7, 13, 18, 19"
pure-fix-1940s-lady-tee,Pure Fix 1940's Lady Tee,Pure Fix Cycles,Apparel,"1940S, Accessories, Apparel, Black, Clothes, Concrete, Grey, Shirt, Shirts",16,https://cdn.shopify.com/s/files/1/0923/8062/products/seamless-women-tee.jpeg?v=1438625424,"2, 3, 9, 11, 18"
pure-fix-cycling-cap,Pure Fix Cycling Cap,Pure Fix Cycles,Apparel,"Accessories, Apparel, Black, Hat, Hats",24,https://cdn.shopify.com/s/files/1/0923/8062/products/Pure-Hat-WEB.jpeg?v=1438625325,"1, 2, 6, 18, 20"
pure-fix-1940s-softball-jersey,Pure Fix 1940's Softball Jersey,Pure Fix Cycles,Apparel,"1940S, Accessories, Apparel, Black, Clothes, Concrete, Grey, Shirt, Shirts",20,https://cdn.shopify.com/s/files/1/0923/8062/products/pure-fix-softball-tee-web-2.jpeg?v=1438624916,"3, 4, 7, 9, 19"
pure-fix-5-panel-hat,Pure Fix 5 Panel Hat,Pure Fix Cycles,Apparel,"Accessories, Apparel, Hats",16,https://cdn.shopify.com/s/files/1/0923/8062/products/PCHat_3RD_Right_Black_WEB.jpeg?v=1438624782,"5, 6, 7, 15, 20"
