title,price,images,url,description,rating,categories,tab,type,stores,amazon,walmart,target
Maybelline Face Studio Master Hi-Light Light Booster Blush,14.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/face-studio-master-hilig-3.png,https://well.ca/products/maybelline-face-studio-master_88831.html,"Maybelline Face Studio Master Hi-Light Light Boosting blush formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.",,Blush,Blush,2,"3, 7, 9, 13, 20",,,
Maybelline Face Studio Master Hi-Light Light Booster Blush ,14.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/face-studio-master-hilig-4.png,https://well.ca/products/maybelline-face-studio-master_88836.html,"Maybelline Face Studio Master Hi-Light Light Boosting blush formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.",5,Blush,Blush,2,"13, 16, 17, 18, 19",https://www.amazon.com/Maybelline-New-York-Facestudio-Conceal/dp/B00PFCS80M/ref=sr_1_1?dchild=1&keywords=Maybelline+Face+Studio&qid=1606388871&sr=8-1,https://www.walmart.com/ip/Maybelline-New-York-Face-Studio-Master-Prime-Makeup-Blur-Plus-Illuminate-1-Fluid-Ounce/147471387,https://www.target.com/p/maybelline-face-studio-master-conceal-0-4-fl-oz/-/A-16878211?preselect=16866744#lnk=sametab
Maybelline Fit Me Blush,10.29,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/fit-me-blush-5.png,https://well.ca/products/maybelline-fit-me-blush_31269.html,"Maybelline Fit Me Blush has lightweight pigments blend easily and wear evenly. It provides a natural, fade-proof cheek color that leaves skin the way it was meant to be...fresh, breathing, and natural.

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",4.8,Blush,Blush,4,"3, 5, 7, 16, 18",,,
Maybelline Dream Bouncy Blush,11.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/dream-bouncy-blush-6.png,https://well.ca/products/maybelline-dream-bouncy-blush_50689.html,"Now, blush has bounce! Freshest flush ever:• New bouncy texture is formulated with silicone elastomers• Lightweight like a powder, yet melts seamlessly into skin like a cream giving you a fresh flush• Dermatologist tested• Allergy tested• Non-comedogenic
                    
                    
                    
                        
                        For best results: With your fingertips, blend a small amount of
 blush onto the apples of your cheeks, applying from your cheekbones to 
your temples. To build colour intensity, apply more blush.",4.5,Blush,Blush,2,"3, 6, 13, 14, 19",https://www.amazon.com/Maybelline-New-York-Facestudio-Conceal/dp/B00PFCS80M/ref=sr_1_1?dchild=1&keywords=Maybelline+Face+Studio&qid=1606388871&sr=8-1,https://www.walmart.com/ip/Maybelline-New-York-Face-Studio-Master-Prime-Makeup-Blur-Plus-Illuminate-1-Fluid-Ounce/147471387,https://www.target.com/p/maybelline-face-studio-master-conceal-0-4-fl-oz/-/A-16878211?preselect=16866744#lnk=sametab
Maybelline Face Studio Master Hi-Light Light Booster Bronzer,14.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/face-studio-master-hilig-0.png,https://well.ca/products/maybelline-face-studio-master_88837.html,"Maybelline Face Studio Master Hi-Light Light Boosting bronzer formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.",5,Bronzer,Bronzer,1,"1, 6, 9, 11, 14",https://www.amazon.com/Maybelline-New-York-Facestudio-Conceal/dp/B00PFCS80M/ref=sr_1_1?dchild=1&keywords=Maybelline+Face+Studio&qid=1606388871&sr=8-1,https://www.walmart.com/ip/Maybelline-New-York-Face-Studio-Master-Prime-Makeup-Blur-Plus-Illuminate-1-Fluid-Ounce/147471387,https://www.target.com/p/maybelline-face-studio-master-conceal-0-4-fl-oz/-/A-16878211?preselect=16866744#lnk=sametab
Maybelline Fit Me Bronzer,10.29,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/fit-me-bronzer-1.png,https://well.ca/products/maybelline-fit-me-bronzer_31265.html,"Why You'll Love It

Lightweight pigments blend easily and wear evenly
Provides a natural, fade-proof bronzed color that leaves skin the way it was meant to be...fresh, breathing and natural

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",4.5,Bronzer,Bronzer,2,"2, 3, 8, 12, 14",,,
Maybelline Facestudio Master Contour Kit,15.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/facestudio-master-contou-2.png,https://well.ca/products/maybelline-facestudio-master-contour_120303.html?cat=328,"Maybelline Facestudio Master Contour Kit is the ultimate on the go all-in-one palette, with contouring brush included.  Define and highlight in a New York minute with this effortless 3-step face contouring kit.  This easy-to-use 3-step face contouring kit features a bronzer, blush and highlighter.",,Bronzer,Bronzer,2,"2, 4, 6, 9, 18",,,
Maybelline Line Express Eyeliner,7.29,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/line-express-eyeliner-25.png,https://well.ca/products/maybelline-line-express-eyeliner_9738.html,Maybelline Line Express Eyeliner's intense color formula + smart tip smudger makes this liner glide on smoothly and is easy to apply with just one stroke.Features: Creamy formula delivers intense colorContour smudger makes blending easyAll-day wearSafe for sensitive eyes and ophthalmologist-testedContact lens safe,4.5,Eyeliner,Eyeliner,2,"8, 14, 15, 16, 18",,,
Maybelline Unstoppable Eyeliner,8.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/unstoppable-eyeliner-26.png,https://well.ca/products/maybelline-unstoppable-eyeliner_3737.html,"Unstoppable Eyeliner allows ultra-smooth application for defined lines and eyes.
It is a self-sharpening mechanical pencil, and will hold your look in place all day long.
Waterproof.
Ophthalmologist tested, contact lens safe for sensitive eyes.",4.3,Eyeliner,Eyeliner,4,"1, 2, 6, 17, 18",,,
Maybelline Color Show Kohl Liner,5.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/color-show-kohl-liner-27.png,https://well.ca/products/maybelline-color-show-kohl-liner_101020.html,"Maybelline Color Show Kohl Liner is the hottest new way to create statement eyes!The brightest colors. The easiest glide. Creamy, rich color has never 
been this precise!",,Eyeliner,Eyeliner,3,"3, 4, 9, 12, 14",,,
