sku,title,color,tab,description,categories,price,images,type,size,amazon,best_buy,target
black-leather-bag,Black Leather Bag,black,Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand. ",women,30,https://burst.shopifycdn.com/photos/black-bag-over-the-shoulder_925x.jpg,2,L,,,
striped-silk-blouse,Striped Silk Blouse,red,Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants. ,women,50,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,2,M,,,
navy-sport-jacket,Navy Sports Jacket,blue,Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",men,60,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,2,XL,,,
zipped-jacket,Zipped Jacket,blue,Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,men,65,https://burst.shopifycdn.com/photos/menswear-blue-zip-up-jacket_925x.jpg,4,L,,,
classic-leather-jacket,Classic Leather Jacket,black,Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket. ",women,80,https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,4,L,https://www.amazon.com/Comfort-Colors-Adult-Sleeve-1717/dp/B07M8D9G1R/ref=sr_1_2_sspa,https://www.bestbuy.com/site/bioworld-call-of-duty-retribution-t-shirt-large-blue/5580900.p?skuId=5580900,https://www.target.com/p/men-s-standard-fit-crewneck-t-shirt-goodfellow-co/-/A-79781315?preselect=79700725#lnk=sametab
dark-winter-jacket,Soft Winter Jacket,black,Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",women,50,https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,3,L,https://www.amazon.com/Comfort-Colors-Adult-Sleeve-1717/dp/B07M8D9G1R/ref=sr_1_2_sspa,https://www.bestbuy.com/site/bioworld-call-of-duty-retribution-t-shirt-large-blue/5580900.p?skuId=5580900,https://www.target.com/p/men-s-standard-fit-crewneck-t-shirt-goodfellow-co/-/A-79781315?preselect=79700725#lnk=sametab
olive-green-jacket,Olive Green Jacket,green,Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,women,65,https://burst.shopifycdn.com/photos/urban-fashion_925x.jpg,4,S,,,
yellow-wool-jumper,Yellow Wool Jumper,yellow,Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall. ,women,80,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,1,M,,,https://www.target.com/p/men-s-standard-fit-crewneck-t-shirt-goodfellow-co/-/A-79781315?preselect=79700725#lnk=sametab
ocean-blue-shirt,Ocean Blue Shirt,blue,Shirt,Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns. ,men,50,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,4,M,https://www.amazon.com/Comfort-Colors-Adult-Sleeve-1717/dp/B07M8D9G1R/ref=sr_1_2_sspa,https://www.bestbuy.com/site/bioworld-call-of-duty-retribution-t-shirt-large-blue/5580900.p?skuId=5580900,https://www.target.com/p/men-s-standard-fit-crewneck-t-shirt-goodfellow-co/-/A-79781315?preselect=79700725#lnk=sametab
chequered-red-shirt,Chequered Red Shirt,red,Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",men,50,https://burst.shopifycdn.com/photos/red-plaid-shirt_925x.jpg,4,M,,,
blue-silk-tuxedo,Blue Silk Tuxedo,blue,Shirt,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,men,70,https://burst.shopifycdn.com/photos/man-adjusts-blue-tuxedo-bowtie_925x.jpg,3,S,,,
white-cotton-shirt,White Cotton Shirt,white,Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket. ,women,30,https://burst.shopifycdn.com/photos/smiling-woman-poses_925x.jpg,1,S,,,
