title,calories,tab,description,images,price,rating,categories,stores,type,amazon,best_buy,target
Homemade bread,400,bakery,Homemade bread,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/10.jpg,17.48,3,bakery,"1, 2, 6, 14, 20",4,,,
Baked stuffed portabello mushrooms,400,bakery,Homemade baked stuffed portabello mushrooms with spinach and cheese,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/15.jpg,20.31,1,bakery,"1, 5, 11, 14, 17",1,,,
Honey,400,bakery,Honey and honeycell on the table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/23.jpg,17.01,2,bakery,"1, 3, 4, 13, 17",3,,,
Cuban sandwiche,400,bakery,Homemade traditional cuban sandwiches with ham pork and cheese,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/28.jpg,18.5,4,bakery,"4, 10, 14, 16, 19",2,,,
Italian ciabatta,400,meat,"Italian ciabatta bread cut in slices on wooden chopping board with herbs, garlic and olives over dark grunge backdrop, top view",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/39.jpg,15.18,1,bakery,"1, 6, 9, 18, 20",4,,,
French fries,400,bakery,Homemade oven baked french fries with ketchup,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/43.jpg,18.32,3,bakery,"5, 8, 9, 12, 20",2,,,
Brown eggs,0,dairy,Raw organic brown eggs in a basket,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/0.jpg,28.1,4,dairy,"1, 6, 9, 11, 14",2,,,
Green smoothie,400,dairy,"Glass of green smoothie with quail egg's yolk, served with cocktail tube, green apple and baby spinach leaves over tin surface.",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/3.jpg,17.68,4,dairy,"3, 7, 9, 13, 20",1,,,
Baking cake,400,dairy,"Baking cake in rural kitchen - dough  recipe ingredients (eggs, flour, sugar) on vintage wooden table from above.",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/5.jpg,11.14,4,dairy,"3, 5, 7, 16, 18",2,,,
Breakfast with muesli,300,dairy,Concept of healthy breakfast with muesli,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/22.jpg,22.7,2,dairy,"4, 5, 9, 12, 19",1,,,
Ricotta,300,dairy,Ricotta with berry and mint,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/27.jpg,27.81,5,dairy,"3, 4, 9, 12, 14",1,,,
Granola,300,dairy,"Glass jar with homemade granola and yogurt with nuts, raspberries and blackberries on wooden cutting board over white textile in day light",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/29.jpg,29.97,3,dairy,"1, 4, 11, 14, 15",1,,,
Yogurt,0,dairy,Homemade yogurt with raspberry and mint,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/31.jpg,27.61,4,dairy,"1, 7, 12, 16, 19",2,,,
Rustic breakfast,300,dairy,"Rustic healthy breakfast set. cooked buckwheat groats with milk and honey on dark grunge backdrop. top view, copy space",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/40.jpg,21.32,0,dairy,"2, 5, 8, 10, 15",1,,,
Sweet fresh stawberry,400,fruit,Sweet fresh stawberry on the wooden table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/1.jpg,29.45,4,fruit,"2, 3, 8, 12, 14",4,,,
Fresh stawberry,400,fruit,Sweet fresh stawberry on the wooden table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/8.jpg,28.59,4,fruit,"1, 5, 10, 12, 15",2,,,
Lemon and salt,0,fruit,"Rosemary, lemon and salt on the table",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/9.jpg,15.79,5,fruit,"1, 7, 13, 18, 19",1,,,
Healthy breakfast,300,fruit,Healthy breakfast set. rice cereal or porridge with berries and honey over rustic wood background,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/13.jpg,13.02,2,fruit,"4, 8, 11, 17, 20",4,,,
Strawberry jelly,300,fruit,Homemade organic strawberry jelly in a jar,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/16.jpg,14.18,1,fruit,"6, 9, 10, 14, 16",4,,,
Pears juice,400,fruit,Fresh pears juice on the wooden table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/17.jpg,19.49,4,fruit,"2, 3, 4, 11, 15",4,,,
Fresh pears,100,fruit,Sweet fresh pears on the wooden table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/18.jpg,15.12,5,fruit,"1, 5, 6, 10, 11",1,,,
Oranges,0,fruit,Orange popsicle ice cream bars made from fresh oranges.  a refreshing summer treat.,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/20.jpg,21.48,4,fruit,"3, 4, 6, 8, 15",4,,,
Breakfast with cottage,400,fruit,Healthy breakfast with cottage cheese and strawberry,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/24.jpg,14.05,1,fruit,"4, 8, 13, 16, 20",1,,,
Strawberry smoothie,400,fruit,"Glass of red strawberry smoothie with chia seeds, served with retro cocktail tube, fresh mint and strawberries over dark background",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/25.jpg,28.86,2,fruit,"8, 14, 15, 16, 18",3,,,
Strawberry and mint,400,fruit,Homemade muesli with strawberry and mint,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/26.jpg,26.21,4,fruit,"1, 2, 6, 17, 18",3,,,
Smoothie with chia seeds,400,fruit,"Glass of red strawberry smoothie with chia seeds, served with retro cocktail tube, fresh mint and strawberries over wooden table",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/30.jpg,25.26,5,fruit,"2, 3, 4, 5, 11",1,,,
Cherry,0,fruit,Cherry with sugar on old table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/33.jpg,14.35,5,fruit,"3, 6, 14, 17, 19",1,,,
Fresh blueberries,100,fruit,"Healthy breakfast. berry crumble with fresh blueberries, raspberries, strawberries, almond, walnuts, pecans, yogurt, and mint in ceramic plates over white wooden surface, top view",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/37.jpg,21.01,4,fruit,"1, 9, 10, 13, 14",4,,,
Smashed avocado,100,meat,"Vegan sandwiches with smashed avocado, tomatoes and radish. top view",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/38.jpg,25.88,0,fruit,"2, 9, 14, 18, 20",4,,,
Sliced lemons,200,fruit,Heap of whole and sliced lemons and limes with mint in vintage metal grid box over old wooden table with turquoise wooden background. dark rustic style.,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/41.jpg,27.14,2,fruit,"3, 5, 12, 15, 18",3,,,
Plums,200,fruit,Yellow and red sweet plums,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/42.jpg,19.18,1,fruit,"1, 4, 6, 8, 11",2,,,
Strawberries,0,fruit,"Healthy breakfast set. rice cereal or porridge with fresh strawberry, apricots, almond and honey over white rustic wood backdrop, top view,",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/44.jpg,15.13,3,fruit,"5, 6, 7, 16, 18",3,,,
Tomatoes,0,fruit,Organic tomatoes made with love,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/46.jpg,26.03,4,fruit,"2, 10, 13, 14, 18",1,,,
Fruits bouquet,200,fruit,Abstract citrus fruits bouquet on blue background,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/48.jpg,18.18,1,fruit,"3, 9, 10, 14, 20",1,,,
Peaches on branch,100,fruit,Peaches on branch with leaves and glasses with peach juice and limonade with ice cubes in aluminum tray over old metal table. dark rustic style. top view.,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/49.jpg,25.62,3,fruit,"3, 6, 12, 14, 18",1,,,
Ground beef meat burger,100,meat,"Raw ground beef meat burger steak cutlets with seasoning on vintage wooden boards, black background",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/45.jpg,11.73,5,meat,"13, 14, 16, 17, 18",1,,,
